EAN;NAZWA;CENA_SPRZEDAZY;STAN;ROTACJA;COLI;MARKA
5905331026413;PIWO TOOL KWASNY 0.33;7.49;0;0;1;PINTA
5904730465243;PIWO TOPICAL IPA 0.5L;8.99;0;0;1;WREZEL
5903292264370;PIWO TOPOR PERUNA 0.5 L;9.99;0;0;1;PERUN
5906874605158;G.SC.PIWO CICHA NOC 0.5L BT BZ;6.99;0;0;20;BROWAR ZA MIASTEM
5906874605004;G.SC.PIWO DLUGI WEEK.0.5L BTBZ;6.99;0;0;20;BROWAR ZA MIASTEM
5905669783101;PIWO TRIP-HOP CENTENNIAL CITRA;11.99;0;0;1;BROKREACJA
5906874605028;G.SC.PIW.DZIEN WOLN.0.5L BT BZ;6.99;0;0;20;BROWAR ZA MIASTEM
5904730465298;PIWO TROPICAL LITLLE 0.5L;8.99;0;0;1;WREZEL
5906395303809;PIWO UNGA BUNGA PALE ALE 0.5L;8.79;0;0;5;DEER BEAR
5906395303700;PIWO UNICORN 0.5L;9.99;0;0;1;DEER BEAR
5906395053155;PIWO VERMONT 0.5 L;8.99;0;0;1;PIWOJAD
5904730465120;PIWO VERMONT AIPA 0.5L;8.99;0;0;1;WREZEL
5904730465359;PIWO VERMONT DOUBLE IPA 0.5L;8.29;0;0;1;WREZEL
5906874605141;T.PIWO PEL.LUZ BLA.IPS0.5L BTB;6.99;0;0;20;BROWAR ZA MIASTEM
5905279959613;PIWO VIVA SLIWA 0.5L;8.99;0;0;5;PINTA
5905669479400;PIWO W STYLU GRODZISKIE 0.5 L;6.99;0;0;1;TRZECH KUMPLI
5906874027172;PIWO FLORIDA RIDER 0.5L;10.99;0;0;1;ROCKMILL
5902448150888;PIWO WASOSZ GREEN LEMON 0.5L;5.49;0;0;5;WASOSZ
5902448151403;PIWO WEIZEN AIPA 0.5L 0% BUT;5.29;12;0;20;WAWELSKIE
5905669086752;PIWO WHISKY STOUT 0.5L;5.99;0;0;1;BROWAR STAROPOLSKI
5907688746051;PIWO WHITE APA GZUB 0.5L;7.49;0;0;1;GZUB
5900718375016;PIWO TWINSTER IPA 0.5;8.99;0;0;1;PIVOVSKY
5906874605066;T.PIWO SWIET.SPOKOJ 0.5L BT BZ;6.99;0;0;20;BROWAR ZA MIASTEM
5905669086066;PIWO WIEDENSKI LAGER 0.5L;4.49;0;0;12;BROWAR STAROPOLSKI
5905279716070;PIWO WILK TROPICAL EL DORADO;8.99;0;0;1;BROWARWILK
5904730284936;PIWO WITBIER 0.5 BT BZ;5.99;0;0;20;BROWAR JAN OLBRACHT
5906874605196;PIWO RADOSC ZYCIA 0.5L BT BZ;6.99;0;0;20;BROWAR ZA MIASTEM
5905279213005;PIWO WRCLW HEFEWEIZEN 0.5L;6.79;0;0;5;BROWAR STU MOSTOW
5906395388400;PIWO WUJEK Z AMERYKI NEW ENGLA;11.99;0;0;1;BROWAR ZAKLADOWY
5906395303373;PIWO YAM YAM RAMEN IPA 0.5;8.99;0;0;1;DEER BEAR
5906874605059;PIWO DOBRA NOC 0.5L;7.99;0;0;1;BROWAR ZA MIASTEM
9859;PIWO Z ZAMILOWANIA PASJONAT;8.49;0;0;1;ARTEZAN
5906395388929;PIWO ZADYMIARZ KOZLAK WEDZONY;6.99;0;0;1;BROWAR ZAKLADOWY
5906395010127;PIWO ZLODZIEJSKIE ARA 0.5L;7.99;0;0;5;BROWAR SPOLDZIELCZY
5905669086288;PIWO ZLOTY UL 3 MIODY 0.5;4.99;0;0;1;BROWAR STAROPOLSKI
5905669086271;PIWO ZLOTY UL ALTAJSKI 0.5 L;5.59;0;0;1;BROWAR STAROPOLSKI
5905669086264;PIWO ZLOTY UL POTROJNIE GRYCZA;6.59;0;0;1;BROWAR STAROPOLSKI
5904730663045;PIWO ZNIWA CHMIELARZY POLISH;7.99;0;0;1;RECRAFT
5906660570059;PIWO ZYTKO RYE IPA 0.5 L;8.99;0;0;1;BROWAR KAZIMIERZ
5905331025225;PIWO ZYTORILLO 0.5L;7.99;0;0;5;PINTA
5906395926138;PWO JASLO LAGER 0.5 L;5.99;0;0;1;BROWAR JASLO
5903240848065;CYDR TRUSKAWKOWY 330ML 4.5%;4.99;0;0;12;KAMRON
5907688746143;EASY LITE RYE APA;6.99;0;0;1;GZUB
5905279156005;T.PIWO LAGER 0.5L BT BZ;5.49;0;0;5;CIESZYN
5904730014878;T.PIWO MARYNKA PILS 0.5L BT BZ;4.49;0;0;5;WASOSZ
5904730014014;T.PIWO WASOSZ 12 0.5L BT BZ;4.29;0;0;5;WASOSZ
